GAME_ID,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9
22200072,1610612739,1628378,1627747,1630596,1628386,1629731,1626224,201567,203526,1630171
22200073,1610612755,1630178,201935,1629001,202699,200782,1629680,1627777,1626149,1627863
22200074,1610612754,1630169,1627741,1626167,1630188,1630174,1631097,1629614,1630543,204456
22200075,1610612752,1629628,1628973,203944,1630193,1628392,1629011,203095,1630167,201565
22200076,1610612747,2544,201566,1628972,201976,1630559,1629022,1627745,1629117,1629134
22200077,1610612741,201942,1629632,202696,1629750,1627936,203083,201609,1630245,1630172
22200078,1610612762,1629020,1628374,201144,203903,1627736,1629659,203482,1630534,1629012
22200079,1610612740,1630230,203468,1630530,202685,1630631,1628984,202066,1626204,1626195
22200080,1610612745,1629645,201569,1631095,1630224,1630578,1630256,1630231,1631106,1629726
22200081,1610612748,1628389,202710,200768,1629639,1629622,1628997,1629216,2617,1629130
22200082,1610612744,203952,201939,1629673,203110,202691,1626172,203210,1629660,1630541
22200083,1610612754,1627741,1630188,1630169,1631097,1630543,1630537,1629614,201949,1629048
22200084,1610612755,201935,203954,202699,1630178,200782,1629001,1629680,1627777,1626149
22200085,1610612737,1629027,1627749,1629631,1628381,203991,1628988,1630168,1630552,203200
22200086,1610612760,1628983,1629652,1630598,1631114,1630544,1629647,1630197,1629026,203488
22200087,1610612763,1630217,1626145,1630583,1628415,1629723,1631223,203500,1629634,1631113
22200088,1610612740,1630230,1630530,203468,1629627,202685,1628984,1626204,1630631,1629637
22200089,1610612764,203078,1628398,204001,1628420,1629060,1630264,1630692,203115,1630166
22200090,1610612752,1628973,203944,1629628,203095,1628392,1629011,1630193,1629629,1630167
22200091,1610612744,1629673,201939,203110,203952,1630541,1626172,1630228,203210,1629660
22200092,1610612750,1630162,1630183,1626157,1626156,203497,1627752,1627854,203937,1629669
22200093,1610612753,1630532,1628976,1631094,1629626,203082,1629643,1630181,1628964,1630284
22200094,1610612745,1629645,1630224,1630256,1630578,1631095,1630231,1629726,1630528,1630586
22200095,1610612743,203999,203484,1627750,203932,1628971,1629008,201145,1631128,201599
22200096,1610612758,203084,1628989,1631099,1630558,1627734,1626168,1628370,1626158,1628368
22200097,1610612755,201935,1630178,202699,1629001,200782,1629680,1627863,1627777,1626149
22200098,1610612754,1630537,1627741,1630169,1630188,1631097,1626167,201949,204456,1630543
22200099,1610612737,1629027,1627749,1628381,203991,203200,1629631,1630168,1631100,1630552
22200100,1610612765,1631093,1630595,202711,1630191,1630180,1628977,203457,1630587,1630165
22200101,1610612763,1629630,1628415,1631223,1626145,1629723,1630583,203500,1630214,1629634
22200102,1610612745,1630224,1629645,1631095,201569,1630578,1630231,1629726,1631106,1630586
22200103,1610612741,203897,1630245,201942,202696,1630172,1627936,201609,1627884,1629750
22200104,1610612744,203952,201939,203110,202691,1629673,1626172,203210,1630541,1629660
22200105,1610612753,1631094,1630532,1628976,1629626,1630591,1630181,1631216,1628964,1629643
22200106,1610612750,1630162,1626157,203497,1626156,1629669,1629162,1627752,1630183,1629675
22200107,1610612738,1627759,1628369,201143,203935,1628401,1629684,1627763,1630573,1628436
22200108,1610612764,203078,204001,1629060,1628398,1630166,203115,1628420,1630264,1629655
22200109,1610612758,1628989,1627734,203084,1630558,1631099,1628370,203521,1626168,1626158
22200110,1610612737,1627749,1629631,1628381,1629027,203991,1628988,1630168,203200,1630552
22200111,1610612766,1629667,1628372,1629023,1626162,203486,1630547,202330,1630177,1630208
22200112,1610612746,202331,202694,202704,1627826,1626181,1628379,202322,1629611,201587
22200113,1610612765,1630180,1630191,1630595,1631093,202711,1630165,1630587,203457,1628977
22200114,1610612761,1630567,1627783,1629018,1628449,1628384,1631132,1630173,1630625,203920
22200115,1610612762,1628374,203903,1629020,201144,1629012,203482,1627736,1629659,200752
22200116,1610612763,1630217,203500,1629630,1628415,1630583,1626145,1629723,1631223,1629634
22200117,1610612740,203468,1630530,1630230,1629627,1626204,202685,1628984,1630631,1630700
22200118,1610612744,201939,202691,203952,203110,1626172,1629673,203210,1629660,1630541
22200119,1610612743,203999,203932,203484,1627750,1628971,1629008,201145,1628432,1631128
22200120,1610612739,1628386,1627747,1630596,1626224,203526,1629731,201567,1630171,1630205
22200121,1610612748,1629622,1629639,200768,1628389,1628997,1629216,1629130,203473,1629312
22200122,1610612752,1629628,203944,1628973,1630193,1628392,1630167,1629629,1629656,203095
22200123,1610612751,201142,1630560,1626220,1629651,1628410,203925,1629139,201988,1630561
22200124,1610612741,203897,201942,202696,1630172,1630245,1627936,201609,1629750,1627884
22200125,1610612766,1628372,1630547,1629023,1630550,1626162,203486,1629667,1630177,1630208
22200126,1610612746,202331,202704,1627826,202694,202322,1626181,201587,1629599,1628379
22200127,1610612761,1628384,1630567,1629018,1627783,1628449,1630173,203490,1631132,201152
22200128,1610612744,1629673,1630228,1630237,1630541,1629660,1626172,1630164,203210,1631157
22200129,1610612749,201950,203507,201572,1626171,1628960,1628975,1630699,201588,1629670
22200130,1610612757,203924,1628404,1626159,1631101,203994,1629642,1630553,1629234,1631133
22200131,1610612762,1628374,201144,203482,203903,1629012,1629020,1629659,1627736,1631117
22200132,1610612758,1628368,1627734,203084,1628989,1626168,1628370,1631099,1630558,1629002
22200133,1610612751,1626220,201142,203925,1630560,1629651,1629139,1628410,203552,201988
22200134,1610612740,203468,1627742,1629627,1630529,1626204,202685,1630530,1630631,1630230
22200135,1610612738,1627759,1628369,203935,1627763,1629684,1628401,1630573,203943,201933
22200136,1610612760,1628983,1630581,1629652,1631172,1631114,1629647,1630526,1629026,203488
22200137,1610612745,1630231,1629645,1630224,201569,1630586,1631106,1630578,1630227,1629726
22200138,1610612759,1629640,1627751,1630170,1631110,1630200,1631103,1626196,1628966,1629676
22200139,1610612757,1628404,1630553,1631101,203924,203994,1626159,1629234,1631133,1630570
22200140,1610612739,1629636,1628378,1630596,1627747,1628386,1629731,201567,1626224,201577
22200141,1610612741,1630245,201942,202696,1627936,1630172,1629750,201609,1627884,1631207
22200142,1610612764,1628398,1628420,204001,1630166,1630692,1630557,203115,1629060,1629655
22200143,1610612762,1628374,201144,1627736,203903,203482,1629012,1631117,200752,1629659
22200144,1610612764,1628420,1628398,204001,203115,1629060,1630692,1630557,1630166,1630264
22200145,1610612745,1629645,1630224,201569,1630578,1630231,1631095,1631106,1630586,1630227
22200146,1610612760,1628983,1631114,1629026,1629652,1630581,1630544,1631172,1629647,1630526
22200147,1610612740,1627742,203468,1629627,1630529,1630530,202685,1628984,1630631,1626204
22200148,1610612756,1628969,1626164,1629028,1626166,1627814,1628470,101108,1629013,202687
22200149,1610612749,201950,201572,1628960,203507,1628975,1626171,1629670,201588,202083
22200150,1610612757,1628404,203924,203081,1629014,203994,1626159,1629234,1630570,1631101
22200151,1610612761,1628384,1627832,1629018,1630567,1631132,203490,1628449,1630173,1627823
22200152,1610612738,1628369,1627759,1629684,203935,201143,1627763,1628401,1630573,203943
22200153,1610612752,1629628,1628973,203944,1629629,1630167,1628392,1630579,1630193,201565
22200154,1610612743,203999,1627750,203484,1629008,203932,1628971,1630538,201145,201599
22200155,1610612751,1626220,201142,203925,1629651,1630560,1628410,1627732,203552,201988
22200156,1610612758,1628368,1627734,1628989,1628370,1631099,203084,1630558,1629056,1629002
22200157,1610612747,1630559,203076,1631108,1629134,1628972,201566,1629117,1630346,1627745
22200158,1610612739,1628378,1629636,1627747,1630596,1628386,201567,1630171,1629731,1626224
22200159,1610612757,203081,1628404,1629014,1631101,1626159,1630570,1629234,1631133,1629642
22200160,1610612743,1629008,203932,203484,1627750,1630538,1628971,203999,201145,201599
22200161,1610612742,203915,1629029,1628467,1627827,203493,1630182,203501,203939,201580
22200162,1610612762,203903,1628374,1627736,201144,1629020,203482,1629659,200752,1631117
22200163,1610612765,1630180,1631093,1631105,202711,1630595,1630165,1630191,1630587,1628977
22200164,1610612752,203944,1628973,1629628,1630579,1630167,203095,1630193,1629629,1628392
22200165,1610612745,1629645,1630224,1631095,1630578,201569,1630231,1631106,1630586,1630227
22200166,1610612740,203468,1627742,1629627,202685,1630529,1630230,1630530,1628984,1630631
22200167,1610612756,1628969,1626164,1626166,1629028,1628470,1629013,1627814,203967,1629111
22200168,1610612749,201572,1628975,201588,1628960,1626171,1630699,202083,1629670,201586
22200169,1610612763,1629630,1630217,203500,1628415,1629723,1630583,1626145,1631222,1629634
22200170,1610612747,203076,1630559,201976,2544,1628972,201566,1631108,1629134,1629117
22200171,1610612739,1628378,1627747,1630596,1629636,1628386,201567,1626224,1629731,1630171
