,GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9,DAY,WEEK,MONTH,HOME_TEAM_WINS
51,12100052,1610612760,1630581,1629647,1628983,1629652,1629676,1630197,1630526,1630177,1630544,1610612743,203999,203932,203115,1628420,1630538,1629008,1630267,1628408,201145,286.0,41.0,10.0,1
52,12100053,1610612762,1629671,203903,1630215,1629672,1630190,203497,202355,202711,1630238,1610612749,201572,1628960,203114,201950,203507,1629670,201588,1630572,1626192,286.0,41.0,10.0,1
53,12100054,1610612756,203901,1626166,1626164,1626163,1630188,1628969,1629661,1626184,1628990,1610612757,203496,203468,1628372,203081,1629604,203994,1626181,1630535,1626204,286.0,41.0,10.0,1
54,12100055,1610612737,1629027,1629631,1628381,203992,1628989,203476,1629629,203524,1626153,1610612748,1629644,1630606,1630695,1629216,1629622,1628997,1630597,1630696,2617,287.0,41.0,10.0,1
55,12100056,1610612751,201142,201935,203925,1629651,200746,201988,1628975,200794,1627761,1610612750,1630162,1626157,1627736,201976,1630183,1627752,1629669,1629675,1627774,287.0,41.0,10.0,1
56,12100057,1610612760,1630598,1630197,1630581,1629660,1630177,1630466,203488,1630526,1630544,1610612743,1630538,1630192,1628427,1630210,1629626,1630267,1628432,203115,204028,287.0,41.0,10.0,0
57,12100058,1610612758,203084,1628368,1630558,1629056,1627741,1630169,1626158,202684,203090,1610612747,203076,1630559,2544,201566,203145,2546,200765,201599,2730,287.0,41.0,10.0,1
58,12100059,1610612748,1629130,200768,1628389,202710,1629639,200782,202693,1629622,203473,1610612738,1628369,1629641,1629684,203471,203953,1626196,1627823,1629033,1630174,288.0,41.0,10.0,1
59,12100060,1610612765,203924,1628367,1630240,1630191,1628402,202709,1628977,1626168,203482,1610612755,1627788,1630194,1627885,1630178,1630198,1627777,203083,203552,1630565,288.0,41.0,10.0,1
60,12100061,1610612754,1626208,1629052,1629048,1630613,202954,1627734,204456,1630537,1628470,1610612739,1630205,1629731,1629605,1627756,1630612,1630642,1626224,1630596,1630698,288.0,41.0,10.0,0
