GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9
12200035,1610612742,1630702,1626174,203915,1629029,1627827,1628416,1630182,203501,203493
12200036,1610612749,1629670,1630699,1626171,1626192,1628975,201950,1630572,201572,1628960
12200037,1610612761,1629018,1627783,1628384,1627832,1630567,1630173,1630625,1627823,1628367
12200039,1610612759,1626196,1628966,1631104,203476,1628380,1630200,1631103,203926,1631110
12200040,1610612744,1630228,201939,1629673,203952,1626172,1630237,1628978,1630164,1630541
12200041,1610612758,203084,1627734,1631099,1628368,1628989,1628370,1630558,1629002,1629644
12200042,1610612746,1629611,203496,202331,202694,202322,1628379,202695,202704,1627826
12200043,1610612766,1630550,1629667,1626179,1630547,1628372,1630163,1630208,1631121,202330
12200044,1610612739,1628386,1629636,1628378,1627747,1629731,1630171,1630600,1626224,1629603
12200045,1610612748,1631288,1630696,1629622,1629312,1631107,1629130,1629216,203506,203473
12200046,1610612743,1628971,1631128,202397,201145,1629008,1628427,201599,1630192,1630538
12200047,1610612765,1631093,1630595,1630180,1630191,1630165,1631105,1630296,202709,203585
12200048,1610612753,1628976,1630175,1630532,203082,1631094,1629626,1631216,1629643,1630181
12200049,1610612741,1630172,1629632,202696,1627936,1630245,1631207,201609,203083,1629750
12200050,1610612762,1630215,1628374,203903,200752,1631117,203482,1629659,1629012,1629020
12200051,1610612744,1630228,1628978,1630541,1631116,1630311,203210,1630164,1629683,1630237
12200052,1610612739,1628378,1630171,1629636,1629603,1626224,1628386,201577,203526,1630205
12200053,1610612754,1631097,1629614,1630537,1626167,204456,1627741,1629052,1630678,1630188
12200054,1610612755,202699,201935,1630178,203954,200782,1629001,1627863,1626149,1627777
12200055,1610612748,1629639,1628389,200768,202710,1628997,203506,1629622,1629216,203473
12200056,1610612749,201950,203507,1628975,201588,1626171,201572,1629670,201586,1630699
12200057,1610612747,203076,201976,201566,2544,1630559,1629134,1629022,1628418,1631108
12200058,1610612756,1630613,1630688,1629111,202687,1627814,1627789,1628470,1629006,1630240
12200059,1610612746,1626181,1629611,1630554,201587,1628379,1627826,202331,202694,1629599
12200060,1610612765,1630595,202711,1630180,1630191,202709,1630296,1631093,1631105,1628995
12200061,1610612759,1629640,1630170,1630200,1627751,1630563,1631110,203926,1629641,1628966
12200062,1610612754,1631097,1629614,1626167,1630537,1627741,204456,1630188,1631112,1630678
12200063,1610612753,1631094,1630181,1628976,1630175,1630532,1628964,1629626,1631216,1630284
12200064,1610612761,1630173,1630567,1627832,1628384,1630551,1630625,201152,1631132,1627823
12200065,1610612752,1629628,1628973,1629011,203944,1630193,1630167,1628392,1629656,203095
12200066,1610612750,1626157,203497,1630162,1626156,203937,1630183,1629669,1627854,1627752
12200067,1610612740,203468,1630529,1630230,1630530,202685,1630700,1627742,1626204,1628984
12200068,1610612762,1628374,203903,1629020,203482,201144,1629012,1631117,1629659,200752
12200069,1610612744,1630228,201939,203110,203952,1629673,1631116,1630164,202691,1628978
12200070,1610612758,203084,1627734,1628368,1628370,1629056,1629644,1630558,1631320,1626168
22100001,1610612749,203114,203507,1626192,201572,1628960,1629670,201588,201950,203648
22100002,1610612747,203076,2544,201566,203145,2546,200765,1628370,201599,2730
22100003,1610612766,202330,1626162,1628970,203486,1630163,1628998,202397,1629023,1629667
22100004,1610612765,1630180,203924,1628402,202709,1630191,203482,1630165,1628367,1626168
22100005,1610612752,1629628,203944,203095,202689,1629011,1630167,201565,202692,1630193
22100006,1610612761,1627832,1628384,1630567,1629018,203920,201609,1630173,1628449,1629004
22100007,1610612763,1629630,203500,1628991,1629001,1630217,203937,1629723,1630533,1626145
22100008,1610612750,1630162,1626157,1630183,1626156,1629006,1627736,1629162,1629675,1627752
22100009,1610612740,1627742,1629638,202685,1628984,1630230,1629637,1630530,1630184,202066
22100010,1610612759,1627749,1628401,1627751,1629640,1629022,1630170,203926,1629234,1628966
22100011,1610612762,203497,1628378,202711,1626220,203903,204060,201144,202355,1629672
22100012,1610612756,101108,1628969,1629028,1626164,203109,1629661,1629013,201580,1626166
22100013,1610612757,203081,203468,1626181,203496,203994,203469,1629014,1626204,1629642
22100014,1610612737,1629027,1628381,1629631,203992,1628989,1629629,203991,1626153,203524
22100015,1610612748,202710,200768,1629639,1629130,1628389,200782,1629622,202693,203473
22100016,1610612744,201939,203110,203952,1627814,1629673,2738,203490,202357,1626172
22100017,1610612739,1629012,1628374,1630596,201937,1628386,1630171,201567,1626224,1630698
22100018,1610612753,1628964,1630532,1630591,1630175,1628976,203082,1630181,1629021,201577
22100019,1610612764,1628398,203484,203915,1626149,203526,1628988,202722,1629655,1630166
22100020,1610612738,1628369,203935,1629057,1627759,201143,203471,1626196,1629641,1630202
22100021,1610612755,202699,1630178,203552,203954,1629680,201980,1627788,203083,1627777
22100022,1610612741,1628366,201942,203897,202696,1627936,1630172,1629750,1628972,1628993
22100023,1610612745,1626174,1629645,1630256,201569,1630224,1628464,1630578,1628021,1627863
22100024,1610612743,203999,203115,203932,1628420,1629008,1628408,1630267,201145,203085
22100025,1610612747,203076,2544,201566,2546,203145,202340,1628370,200765,1630559
22100026,1610612758,203084,1628368,1630169,1630558,1627741,203458,1629056,1626158,1628963
22100027,1610612739,1630596,201937,1630171,1628386,1628374,1629012,201567,1626224,202334
22100028,1610612754,1627734,1630537,1627763,203200,1629052,204456,203087,1626167,1628470
22100029,1610612761,1627832,1629018,1630173,1628384,1630567,1629004,203920,201609,1630625
22100030,1610612741,1628366,201942,202696,203897,1630172,1627936,1629750,1630245,1628972
22100031,1610612750,1630162,1626156,1626157,1630183,201976,1629675,1627736,1629006,1627752
22100032,1610612759,1627751,1627749,203926,1628401,1629640,1629022,1630170,1627854,1629234
22100033,1610612757,203468,1629642,203496,203994,203081,1629014,1626204,1628372,203469
22100034,1610612746,202704,202331,202339,202694,1629611,201587,1628379,1627826,1628392
22100035,1610612751,201142,201935,201988,203925,1628971,1628975,200746,1629651,200794
22100036,1610612752,203944,1629011,1629628,201565,203095,202692,202689,1630167,1630193
22100037,1610612745,1629645,1630224,1626174,1630256,201569,1628464,1630578,1627863,201571
22100038,1610612760,1628983,1629652,1630581,1629647,1629026,202324,203488,1630526,1630177
