model_id,tool,source_path,compile_status,object_path,binary_path,object_size_bytes,binary_size_bytes,object_text_bytes,object_data_bytes,object_bss_bytes,object_total_bytes,object_size_raw,binary_text_bytes,binary_data_bytes,binary_bss_bytes,binary_total_bytes,binary_size_raw,compile_stderr,link_stderr
dtree_d8_leaf5,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
rf_n10_d5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n10_d5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/rf_n10_d5__m2cgen.o,,4912.0,,2380.0,0.0,0.0,2476.0,"__TEXT	__DATA	__OBJC	others	dec	hex
2380	0	0	96	2476	9ac",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n10_d5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n10_d5__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
rf_n10_d5,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
rf_n10_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n10_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/rf_n10_d10__m2cgen.o,,10968.0,,6596.0,0.0,0.0,6692.0,"__TEXT	__DATA	__OBJC	others	dec	hex
6596	0	0	96	6692	1a24",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n10_d10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n10_d10__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
rf_n10_d10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
rf_n30_d5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n30_d5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/rf_n30_d5__m2cgen.o,,14152.0,,7572.0,0.0,0.0,7668.0,"__TEXT	__DATA	__OBJC	others	dec	hex
7572	0	0	96	7668	1df4",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n30_d5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n30_d5__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
rf_n30_d5,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
